Date,State_Name,veg_id,veg_name,whole_price,retail_price,shop_mall_price,unit_val,Vegetable_Image
2024-05-03,Delhi,ladiesfinger,Ladies Finger,37,43 - 47,44 - 61,1kg,resource/images/vegetables/ladiesfinger-64.png
2024-05-03,Delhi,pumpkin,Pumpkin,23,26 - 29,28 - 38,1kg,resource/images/vegetables/pumpkin-64.png
2024-05-03,Delhi,radish,Radish,27,31 - 34,32 - 45,1kg,resource/images/vegetables/radish-64.png
2024-05-03,Delhi,ridgegourd,Ridge Gourd,34,39 - 43,41 - 56,1kg,resource/images/vegetables/ridgegourd-64.png
2024-05-03,Delhi,shallot,Shallot (Pearl Onion),32,37 - 41,38 - 53,1kg,resource/images/vegetables/shallot-64.png
2024-05-03,Delhi,snakegourd,Snake Gourd,25,29 - 32,30 - 41,1kg,resource/images/vegetables/snakegourd-64.png
2024-05-03,Delhi,sorrelleaves,Sorrel Leaves,12,14 - 15,14 - 20,1kg,resource/images/vegetables/sorrelleaves-64.png
2024-05-03,Delhi,spinach,Spinach,15,17 - 19,18 - 25,1kg,resource/images/vegetables/spinach-64.png
2024-05-03,Delhi,sweetpotato,Sweet Potato,36,41 - 46,43 - 59,1kg,resource/images/vegetables/sweetpotato-64.png
2024-05-04,Delhi,onionbig,Onion Big,25,29 - 32,30 - 41,1kg,resource/images/vegetables/onionbig-64.png
2024-05-04,Delhi,onionsmall,Onion Small,32,37 - 41,38 - 53,1kg,resource/images/vegetables/onionsmall-64.png
2024-05-04,Delhi,tomato,Tomato,26,30 - 33,31 - 43,1kg,resource/images/vegetables/tomato-64.png
2024-05-04,Delhi,greenchili,Green Chilli,43,49 - 55,52 - 71,1kg,resource/images/vegetables/greenchili-64.png
2024-05-04,Delhi,beetroot,Beetroot,34,39 - 43,41 - 56,1kg,resource/images/vegetables/beetroot-64.png
2024-05-04,Delhi,potato,Potato,30,35 - 38,36 - 50,1kg,resource/images/vegetables/potato-64.png
2024-05-04,Delhi,plantain,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,resource/images/vegetables/plantain-64.png
2024-05-04,Delhi,amaranthleaves,Amaranth Leaves,15,17 - 19,18 - 25,1kg,resource/images/vegetables/amaranthleaves-64.png
2024-05-04,Delhi,amla,Amla,70,81 - 89,84 - 116,1kg,resource/images/vegetables/amla-64.png
2024-05-04,Delhi,ashgourd,Ash gourd,16,18 - 20,19 - 26,1kg,resource/images/vegetables/ashgourd-64.png
2024-05-04,Delhi,babycorn,Baby Corn,50,58 - 64,60 - 83,1kg,resource/images/vegetables/babycorn-64.png
2024-05-04,Delhi,bananaflower,Banana Flower,20,23 - 25,24 - 33,1kg,resource/images/vegetables/bananaflower-64.png
2024-05-04,Delhi,capsicum,Capsicum,49,56 - 62,59 - 81,1kg,resource/images/vegetables/capsicum-64.png
2024-05-04,Delhi,bittergourd,Bitter Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/bittergourd-64.png
2024-05-04,Delhi,bottlegourd,Bottle Gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/bottlegourd-64.png
2024-05-04,Delhi,butterbeans,Butter Beans,49,56 - 62,59 - 81,1kg,resource/images/vegetables/butterbeans-64.png
2024-05-04,Delhi,broadbeans,Broad Beans,27,31 - 34,32 - 45,1kg,resource/images/vegetables/broadbeans-64.png
2024-05-04,Delhi,cabbage,Cabbage,22,25 - 28,26 - 36,1kg,resource/images/vegetables/cabbage-64.png
2024-05-04,Delhi,carrot,Carrot,44,51 - 56,53 - 73,1kg,resource/images/vegetables/carrot-64.png
2024-05-04,Delhi,cauliflower,Cauliflower,26,30 - 33,31 - 43,1kg,resource/images/vegetables/cauliflower-64.png
2024-05-04,Delhi,clusterbeans,Cluster beans,42,48 - 53,50 - 69,1kg,resource/images/vegetables/clusterbeans-64.png
2024-05-04,Delhi,coconut,Coconut,34,39 - 43,41 - 56,1kg,resource/images/vegetables/coconut-64.png
2024-05-04,Delhi,colocasialeaves,Colocasia Leaves,16,18 - 20,19 - 26,1kg,resource/images/vegetables/colocasialeaves-64.png
2024-05-04,Delhi,colocasia,Colocasia,26,30 - 33,31 - 43,1kg,resource/images/vegetables/colocasia-64.png
2024-05-04,Delhi,corianderleaves,Coriander Leaves,8,9 - 10,10 - 13,1kg,resource/images/vegetables/corianderleaves-64.png
2024-05-04,Delhi,corn,Corn,27,31 - 34,32 - 45,1kg,resource/images/vegetables/corn-64.png
2024-05-04,Delhi,cucumber,Cucumber,27,31 - 34,32 - 45,1kg,resource/images/vegetables/cucumber-64.png
2024-05-04,Delhi,curryleaves,Curry Leaves,29,33 - 37,35 - 48,1kg,resource/images/vegetables/curryleaves-64.png
2024-05-04,Delhi,dillleaves,Dill Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/dillleaves-64.png
2024-05-04,Delhi,drumsticks,Drumsticks,40,46 - 51,48 - 66,1kg,resource/images/vegetables/drumsticks-64.png
2024-05-04,Delhi,brinjal,Brinjal,24,28 - 30,29 - 40,1kg,resource/images/vegetables/brinjal-64.png
2024-05-04,Delhi,brinjalbig,Brinjal (Big),26,30 - 33,31 - 43,1kg,resource/images/vegetables/brinjalbig-64.png
2024-05-04,Delhi,elephantyam,Elephant Yam,27,31 - 34,32 - 45,1kg,resource/images/vegetables/elephantyam-64.png
2024-05-04,Delhi,fenugreekleaves,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,resource/images/vegetables/fenugreekleaves-64.png
2024-05-04,Delhi,frenchbeans,French Beans,51,59 - 65,61 - 84,1kg,resource/images/vegetables/frenchbeans-64.png
2024-05-04,Delhi,garlic,Garlic,156,179 - 198,187 - 257,1kg,resource/images/vegetables/garlic-64.png
2024-05-04,Delhi,ginger,Ginger,116,133 - 147,139 - 191,1kg,resource/images/vegetables/ginger-64.png
2024-05-04,Delhi,oniongreen,Onion Green,45,52 - 57,54 - 74,1kg,resource/images/vegetables/oniongreen-64.png
2024-05-04,Delhi,greenpeas,Green Peas,42,48 - 53,50 - 69,1kg,resource/images/vegetables/greenpeas-64.png
2024-05-04,Delhi,ivygourd,Ivy Gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/ivygourd-64.png
2024-05-04,Delhi,lemon,Lemon (Lime),63,72 - 80,76 - 104,1kg,resource/images/vegetables/lemon-64.png
2024-05-04,Delhi,mangoraw,Mango Raw,26,30 - 33,31 - 43,1kg,resource/images/vegetables/mangoraw-64.png
2024-05-04,Delhi,mintleaves,Mint Leaves,5,6 - 6,6 - 8,1kg,resource/images/vegetables/mintleaves-64.png
2024-05-04,Delhi,mushroom,Mushroom,91,105 - 116,109 - 150,1kg,resource/images/vegetables/mushroom-64.png
2024-05-04,Delhi,mustardleaves,Mustard Leaves,15,17 - 19,18 - 25,1kg,resource/images/vegetables/mustardleaves-64.png
2024-05-04,Delhi,ladiesfinger,Ladies Finger,37,43 - 47,44 - 61,1kg,resource/images/vegetables/ladiesfinger-64.png
2024-05-04,Delhi,pumpkin,Pumpkin,23,26 - 29,28 - 38,1kg,resource/images/vegetables/pumpkin-64.png
2024-05-04,Delhi,radish,Radish,27,31 - 34,32 - 45,1kg,resource/images/vegetables/radish-64.png
2024-05-04,Delhi,ridgegourd,Ridge Gourd,34,39 - 43,41 - 56,1kg,resource/images/vegetables/ridgegourd-64.png
2024-05-04,Delhi,shallot,Shallot (Pearl Onion),32,37 - 41,38 - 53,1kg,resource/images/vegetables/shallot-64.png
2024-05-04,Delhi,snakegourd,Snake Gourd,25,29 - 32,30 - 41,1kg,resource/images/vegetables/snakegourd-64.png
2024-05-04,Delhi,sorrelleaves,Sorrel Leaves,12,14 - 15,14 - 20,1kg,resource/images/vegetables/sorrelleaves-64.png
2024-05-04,Delhi,spinach,Spinach,15,17 - 19,18 - 25,1kg,resource/images/vegetables/spinach-64.png
2024-05-04,Delhi,sweetpotato,Sweet Potato,36,41 - 46,43 - 59,1kg,resource/images/vegetables/sweetpotato-64.png
2024-05-05,Delhi,onionbig,Onion Big,25,29 - 32,30 - 41,1kg,resource/images/vegetables/onionbig-64.png
2024-05-05,Delhi,onionsmall,Onion Small,38,44 - 48,46 - 63,1kg,resource/images/vegetables/onionsmall-64.png
2024-05-05,Delhi,tomato,Tomato,25,29 - 32,30 - 41,1kg,resource/images/vegetables/tomato-64.png
2024-05-05,Delhi,greenchili,Green Chilli,40,46 - 51,48 - 66,1kg,resource/images/vegetables/greenchili-64.png
2024-05-05,Delhi,beetroot,Beetroot,40,46 - 51,48 - 66,1kg,resource/images/vegetables/beetroot-64.png
